CASE_ID,Activity,Resource,StartTimestamp,Amount,CompleteTimestamp,Duration
1,W_Nabellen offertes-START,10913,2011.10.8 23:26,20000,2011.10.8 23:32,6
1,W_Nabellen offertes-START,11049,2011.10.10 18:32,20000,2011.10.10 18:33,1
1,W_Valideren aanvraag-START,10629,2011.10.13 17:05,20000,2011.10.13 17:37,33
2,W_Nabellen offertes-START,11049,2011.10.10 17:13,5000,2011.10.10 17:14,2
2,W_Valideren aanvraag-START,10809,2011.10.10 18:12,5000,2011.10.10 18:30,19
2,W_Valideren aanvraag-START,10809,2011.10.10 21:11,5000,2011.10.10 21:14,3
2,W_Valideren aanvraag-START,10809,2011.10.10 21:14,5000,2011.10.10 21:17,3
3,W_Completeren aanvraag-START,10912,2011.10.1 18:31,7000,2011.10.1 18:35,5
3,W_Completeren aanvraag-START,11201,2011.10.3 20:21,7000,2011.10.3 20:32,12
3,W_Completeren aanvraag-START,11201,2011.10.3 20:32,7000,2011.10.3 20:40,8
3,W_Nabellen offertes-START,11201,2011.10.3 20:40,7000,2011.10.3 20:44,4
3,W_Nabellen offertes-START,11119,2011.10.11 2:29,7000,2011.10.11 2:34,5
3,W_Nabellen offertes-START,10912,2011.10.15 1:15,7000,2011.10.15 1:16,1
3,W_Nabellen offertes-START,10861,2011.10.18 2:41,7000,2011.10.18 2:43,3
3,W_Nabellen offertes-START,11203,2011.10.27 1:48,7000,2011.10.27 1:50,2
3,W_Nabellen offertes-START,11181,2011.10.29 19:39,7000,2011.10.29 19:41,3
3,W_Nabellen offertes-START,11189,2011.11.1 22:54,7000,2011.11.1 22:55,1
3,W_Nabellen offertes-START,11119,2011.11.2 1:16,7000,2011.11.2 1:21,5
3,W_Nabellen offertes-START,11049,2011.11.2 17:11,7000,2011.11.2 17:15,4
3,W_Valideren aanvraag-START,10609,2011.11.4 23:24,7000,2011.11.5 0:05,41
4,W_Completeren aanvraag-START,10912,2011.10.1 18:37,13500,2011.10.1 18:40,3
4,W_Completeren aanvraag-START,10912,2011.10.1 19:40,13500,2011.10.1 20:02,22
5,W_Afhandelen leads-START,10912,2011.10.1 17:15,18000,2011.10.1 17:16,2
5,W_Completeren aanvraag-START,10912,2011.10.1 18:49,18000,2011.10.1 18:50,1
5,W_Completeren aanvraag-START,10912,2011.10.1 18:50,18000,2011.10.1 18:53,4
6,W_Completeren aanvraag-START,10912,2011.10.1 17:26,11000,2011.10.1 17:27,1
6,W_Completeren aanvraag-START,10912,2011.10.1 18:40,11000,2011.10.1 18:43,3
6,W_Completeren aanvraag-START,10982,2011.10.11 0:42,11000,2011.10.11 0:43,1
7,W_Afhandelen leads-START,10912,2011.10.1 17:08,30000,2011.10.1 17:10,2
7,W_Completeren aanvraag-START,11019,2011.10.1 19:59,30000,2011.10.1 20:03,5
7,W_Completeren aanvraag-START,11180,2011.10.3 18:16,30000,2011.10.3 18:17,2
7,W_Completeren aanvraag-START,11180,2011.10.3 21:39,30000,2011.10.3 21:42,4
8,W_Completeren aanvraag-START,10912,2011.10.1 19:18,45000,2011.10.1 19:30,12
8,W_Nabellen offertes-START,10913,2011.10.8 23:35,45000,2011.10.8 23:38,3
8,W_Nabellen offertes-START,10899,2011.10.10 19:53,45000,2011.10.10 19:54,1
8,W_Valideren aanvraag-START,10138,2011.10.13 18:00,45000,2011.10.13 18:05,5
9,W_Nabellen offertes-START,11002,2011.10.8 23:29,15000,2011.10.8 23:31,3
9,W_Nabellen offertes-START,11049,2011.10.10 17:54,15000,2011.10.10 17:55,1
9,W_Valideren aanvraag-START,10629,2011.10.13 19:09,15000,2011.10.13 19:36,27
9,W_Nabellen incomplete dossiers-START,10629,2011.10.13 20:52,15000,2011.10.13 20:53,2
9,W_Nabellen incomplete dossiers-START,11122,2011.10.13 23:51,15000,2011.10.14 0:12,21
9,W_Nabellen incomplete dossiers-START,11122,2011.10.14 0:12,15000,2011.10.14 0:14,2
9,W_Nabellen incomplete dossiers-START,11122,2011.10.14 0:14,15000,2011.10.14 0:14,1
9,W_Nabellen incomplete dossiers-START,10913,2011.10.15 22:13,15000,2011.10.15 22:17,5
9,W_Nabellen incomplete dossiers-START,10913,2011.10.15 23:56,15000,2011.10.15 23:56,1
