,CASE_ID,Activity,Resource,StartTimestamp,Amount,CompleteTimestamp,Duration,StartDate,CompleteDate,weight
55945,7318,W_Completeren aanvraag-START,10982.0,2012-01-28 19:19:34,30000,2012-01-28 19:21:10,2,2012-01-28,2012-01-28,2
55946,7318,W_Completeren aanvraag-START,10982.0,2012-01-28 19:38:13,30000,2012-01-28 19:50:04,12,2012-01-28,2012-01-28,2
55947,7318,W_Completeren aanvraag-START,11203.0,2012-01-28 20:36:46,30000,2012-01-28 20:46:55,11,2012-01-28,2012-01-28,2
55948,7318,W_Completeren aanvraag-START,11203.0,2012-01-28 20:49:34,30000,2012-01-28 21:01:06,12,2012-01-28,2012-01-28,2
55949,7318,W_Nabellen offertes-START,11203.0,2012-02-06 19:57:45,30000,2012-02-06 20:01:41,4,2012-02-06,2012-02-06,2
55950,7318,W_Nabellen offertes-START,11009.0,2012-02-08 04:44:52,30000,2012-02-08 04:46:25,2,2012-02-08,2012-02-08,2
55951,7318,W_Nabellen offertes-START,10933.0,2012-02-09 02:09:03,30000,2012-02-09 02:14:25,6,2012-02-09,2012-02-09,2
55955,7318,W_Nabellen offertes-START,11203.0,2012-02-16 19:53:37,30000,2012-02-16 19:56:18,3,2012-02-16,2012-02-16,2
55956,7318,W_Nabellen offertes-START,11203.0,2012-02-18 04:16:07,30000,2012-02-18 04:17:33,2,2012-02-18,2012-02-18,2
55957,7318,W_Nabellen offertes-START,10909.0,2012-02-19 00:25:25,30000,2012-02-19 00:28:16,3,2012-02-19,2012-02-19,2
55958,7318,W_Nabellen offertes-START,10932.0,2012-02-20 20:38:14,30000,2012-02-20 20:38:58,1,2012-02-20,2012-02-20,2
55959,7318,W_Nabellen offertes-START,11003.0,2012-02-23 22:28:13,30000,2012-02-23 22:30:59,3,2012-02-23,2012-02-23,2
55960,7318,W_Nabellen offertes-START,11119.0,2012-02-25 03:08:39,30000,2012-02-25 03:09:46,2,2012-02-25,2012-02-25,2
55961,7318,W_Nabellen offertes-START,11203.0,2012-03-01 21:49:06,30000,2012-03-01 21:51:32,3,2012-03-01,2012-03-01,2
55962,7318,W_Nabellen offertes-START,11319.0,2012-03-05 20:44:11,30000,2012-03-05 20:48:26,5,2012-03-05,2012-03-05,2
55963,7318,W_Nabellen offertes-START,10913.0,2012-03-10 01:22:00,30000,2012-03-10 01:39:17,18,2012-03-10,2012-03-10,2
55964,7318,W_Nabellen offertes-START,10913.0,2012-03-10 01:39:30,30000,2012-03-10 01:39:38,1,2012-03-10,2012-03-10,2
57448,7518,W_Completeren aanvraag-START,10933.0,2012-01-31 19:52:35,30000,2012-01-31 20:03:04,11,2012-01-31,2012-01-31,2
57449,7518,W_Completeren aanvraag-START,10933.0,2012-01-31 20:22:58,30000,2012-01-31 20:35:57,13,2012-01-31,2012-01-31,2
57450,7518,W_Completeren aanvraag-START,10910.0,2012-01-31 22:19:33,30000,2012-01-31 22:19:56,1,2012-01-31,2012-01-31,2
57451,7518,W_Completeren aanvraag-START,10932.0,2012-02-10 20:55:51,30000,2012-02-10 21:00:21,5,2012-02-10,2012-02-10,2
57452,7518,W_Nabellen offertes-START,10932.0,2012-02-13 18:40:57,30000,2012-02-13 18:42:43,2,2012-02-13,2012-02-13,2
57453,7518,W_Nabellen offertes-START,10931.0,2012-02-25 20:23:37,30000,2012-02-25 20:30:29,7,2012-02-25,2012-02-25,2
57454,7518,W_Nabellen offertes-START,10933.0,2012-03-02 03:23:36,30000,2012-03-02 03:25:29,2,2012-03-02,2012-03-02,2
57455,7518,W_Nabellen offertes-START,11119.0,2012-03-04 00:06:47,30000,2012-03-04 00:09:40,3,2012-03-04,2012-03-04,2
57456,7518,W_Nabellen offertes-START,11003.0,2012-03-08 23:55:00,30000,2012-03-08 23:55:28,1,2012-03-08,2012-03-08,2
57457,7518,W_Nabellen offertes-START,10913.0,2012-03-10 01:19:14,30000,2012-03-10 01:19:29,1,2012-03-10,2012-03-10,2
57458,7518,W_Nabellen offertes-START,10913.0,2012-03-10 01:19:53,30000,2012-03-10 01:20:03,1,2012-03-10,2012-03-10,2
58336,7626,W_Completeren aanvraag-START,10881.0,2012-02-02 03:12:58,40000,2012-02-02 03:13:58,1,2012-02-02,2012-02-02,3
58337,7626,W_Completeren aanvraag-START,10881.0,2012-02-02 03:14:03,40000,2012-02-02 03:16:14,3,2012-02-02,2012-02-02,3
58338,7626,W_Nabellen offertes-START,10881.0,2012-02-02 03:16:26,40000,2012-02-02 03:17:29,2,2012-02-02,2012-02-02,3
58339,7626,W_Nabellen offertes-START,11203.0,2012-02-09 23:48:45,40000,2012-02-09 23:52:48,5,2012-02-09,2012-02-09,3
58340,7626,W_Nabellen offertes-START,11119.0,2012-02-18 03:56:17,40000,2012-02-18 03:59:58,4,2012-02-18,2012-02-18,3
58341,7626,W_Nabellen offertes-START,10933.0,2012-03-02 01:21:21,40000,2012-03-02 01:25:33,5,2012-03-02,2012-03-02,3
58342,7626,W_Nabellen offertes-START,10933.0,2012-03-02 01:26:27,40000,2012-03-02 01:27:19,1,2012-03-02,2012-03-02,3
58343,7626,W_Nabellen offertes-START,11119.0,2012-03-10 20:16:29,40000,2012-03-10 20:21:08,5,2012-03-10,2012-03-10,3
59285,7737,W_Afhandelen leads-START,10932.0,2012-02-03 19:56:15,7500,2012-02-03 19:58:12,2,2012-02-03,2012-02-03,1
59286,7737,W_Completeren aanvraag-START,11203.0,2012-02-03 22:28:36,7500,2012-02-03 22:28:42,1,2012-02-03,2012-02-03,1
59287,7737,W_Completeren aanvraag-START,11201.0,2012-02-04 02:01:37,7500,2012-02-04 02:12:43,12,2012-02-04,2012-02-04,1
59288,7737,W_Nabellen offertes-START,10909.0,2012-02-11 22:57:43,7500,2012-02-11 23:07:24,10,2012-02-11,2012-02-11,1
59289,7737,W_Nabellen offertes-START,11119.0,2012-02-18 03:36:38,7500,2012-02-18 03:38:23,2,2012-02-18,2012-02-18,1
